metric,period,period_iso,value
MarketCap,ttm,,6037140000
MarketCap,10/31/2025,2025-10-31,8204820000
MarketCap,07/31/2025,2025-07-31,7303565100
MarketCap,04/30/2025,2025-04-30,7705076990
MarketCap,01/31/2025,2025-01-31,11926309880
MarketCap,10/31/2024,2024-10-31,8711961250
MarketCap,07/31/2024,2024-07-31,8218572750
MarketCap,04/30/2024,2024-04-30,8336538540
MarketCap,01/31/2024,2024-01-31,11203878270
MarketCap,10/31/2023,2023-10-31,6738522880
MarketCap,07/31/2023,2023-07-31,7673294300
MarketCap,04/30/2023,2023-04-30,4629936310
MarketCap,01/31/2023,2023-01-31,7468025040
MarketCap,10/31/2022,2022-10-31,7252232840
MarketCap,07/31/2022,2022-07-31,8477980000
MarketCap,04/30/2022,2022-04-30,7075039708
MarketCap,01/31/2022,2022-01-31,9402300880
MarketCap,10/31/2021,2021-10-31,16046262915
EnterpriseValue,ttm,,5045155000
EnterpriseValue,10/31/2025,2025-10-31,7212835000
EnterpriseValue,07/31/2025,2025-07-31,6311580100
EnterpriseValue,04/30/2025,2025-04-30,6713091990
EnterpriseValue,01/31/2025,2025-01-31,11009593880
EnterpriseValue,10/31/2024,2024-10-31,7629181250
EnterpriseValue,07/31/2024,2024-07-31,7157448750
EnterpriseValue,04/30/2024,2024-04-30,7300663540
EnterpriseValue,01/31/2024,2024-01-31,10214820270
EnterpriseValue,10/31/2023,2023-10-31,5752994880
EnterpriseValue,07/31/2023,2023-07-31,6737097300
EnterpriseValue,04/30/2023,2023-04-30,3694414310
EnterpriseValue,01/31/2023,2023-01-31,6540273040
EnterpriseValue,10/31/2022,2022-10-31,6322042840
EnterpriseValue,07/31/2022,2022-07-31,7543199000
EnterpriseValue,04/30/2022,2022-04-30,6140336708
EnterpriseValue,01/31/2022,2022-01-31,8477555880
EnterpriseValue,10/31/2021,2021-10-31,15770008915
PeRatio,ttm,,485.556
PeRatio,10/31/2025,2025-10-31,
PeRatio,07/31/2025,2025-07-31,486.778
PeRatio,04/30/2025,2025-04-30,
PeRatio,01/31/2025,2025-01-31,
PeRatio,10/31/2024,2024-10-31,
PeRatio,07/31/2024,2024-07-31,
PeRatio,04/30/2024,2024-04-30,
PeRatio,01/31/2024,2024-01-31,
PeRatio,10/31/2023,2023-10-31,
PeRatio,07/31/2023,2023-07-31,
PeRatio,04/30/2023,2023-04-30,
PeRatio,01/31/2023,2023-01-31,
PeRatio,10/31/2022,2022-10-31,
PeRatio,07/31/2022,2022-07-31,
PeRatio,04/30/2022,2022-04-30,
PeRatio,01/31/2022,2022-01-31,
PeRatio,10/31/2021,2021-10-31,
ForwardPeRatio,ttm,,32.258
ForwardPeRatio,10/31/2025,2025-10-31,47.847
ForwardPeRatio,07/31/2025,2025-07-31,58.48
ForwardPeRatio,04/30/2025,2025-04-30,64.935
ForwardPeRatio,01/31/2025,2025-01-31,80.645
ForwardPeRatio,10/31/2024,2024-10-31,84.034
ForwardPeRatio,07/31/2024,2024-07-31,128.205
ForwardPeRatio,04/30/2024,2024-04-30,250
ForwardPeRatio,01/31/2024,2024-01-31,158.73
ForwardPeRatio,10/31/2023,2023-10-31,196.078
ForwardPeRatio,07/31/2023,2023-07-31,
ForwardPeRatio,04/30/2023,2023-04-30,
ForwardPeRatio,01/31/2023,2023-01-31,
ForwardPeRatio,10/31/2022,2022-10-31,
ForwardPeRatio,07/31/2022,2022-07-31,
ForwardPeRatio,04/30/2022,2022-04-30,
ForwardPeRatio,01/31/2022,2022-01-31,
ForwardPeRatio,10/31/2021,2021-10-31,
PsRatio,ttm,,6.537
PsRatio,10/31/2025,2025-10-31,9.302
PsRatio,07/31/2025,2025-07-31,8.83
PsRatio,04/30/2025,2025-04-30,9.871
PsRatio,01/31/2025,2025-01-31,16.255
PsRatio,10/31/2024,2024-10-31,12.72
PsRatio,07/31/2024,2024-07-31,12.836
PsRatio,04/30/2024,2024-04-30,13.96
PsRatio,01/31/2024,2024-01-31,20.141
PsRatio,10/31/2023,2023-10-31,13.02
PsRatio,07/31/2023,2023-07-31,16.015
PsRatio,04/30/2023,2023-04-30,10.618
PsRatio,01/31/2023,2023-01-31,19.188
PsRatio,10/31/2022,2022-10-31,21.647
PsRatio,07/31/2022,2022-07-31,29.208
PsRatio,04/30/2022,2022-04-30,15.13
PsRatio,01/31/2022,2022-01-31,41.865
PsRatio,10/31/2021,2021-10-31,74.223
PbRatio,ttm,,6.543
PbRatio,10/31/2025,2025-10-31,9.468
PbRatio,07/31/2025,2025-07-31,9.036
PbRatio,04/30/2025,2025-04-30,9.93
PbRatio,01/31/2025,2025-01-31,16.457
PbRatio,10/31/2024,2024-10-31,13.552
PbRatio,07/31/2024,2024-07-31,14.473
PbRatio,04/30/2024,2024-04-30,14.595
PbRatio,01/31/2024,2024-01-31,20.499
PbRatio,10/31/2023,2023-10-31,8.599
PbRatio,07/31/2023,2023-07-31,10.024
PbRatio,04/30/2023,2023-04-30,6.013
PbRatio,01/31/2023,2023-01-31,9.781
PbRatio,10/31/2022,2022-10-31,9.316
PbRatio,07/31/2022,2022-07-31,10.919
PbRatio,04/30/2022,2022-04-30,9.132
PbRatio,01/31/2022,2022-01-31,11.987
PbRatio,10/31/2021,2021-10-31,
EnterprisesValueRevenueRatio,ttm,,5.567
EnterprisesValueRevenueRatio,10/31/2025,2025-10-31,8.407
EnterprisesValueRevenueRatio,07/31/2025,2025-07-31,7.845
EnterprisesValueRevenueRatio,04/30/2025,2025-04-30,8.842
EnterprisesValueRevenueRatio,01/31/2025,2025-01-31,15.472
EnterprisesValueRevenueRatio,10/31/2024,2024-10-31,11.469
EnterprisesValueRevenueRatio,07/31/2024,2024-07-31,11.503
EnterprisesValueRevenueRatio,04/30/2024,2024-04-30,12.589
EnterprisesValueRevenueRatio,01/31/2024,2024-01-31,18.95
EnterprisesValueRevenueRatio,10/31/2023,2023-10-31,11.452
EnterprisesValueRevenueRatio,07/31/2023,2023-07-31,14.526
EnterprisesValueRevenueRatio,04/30/2023,2023-04-30,8.706
EnterprisesValueRevenueRatio,01/31/2023,2023-01-31,17.246
EnterprisesValueRevenueRatio,10/31/2022,2022-10-31,18.983
EnterprisesValueRevenueRatio,07/31/2022,2022-07-31,25.999
EnterprisesValueRevenueRatio,04/30/2022,2022-04-30,24.303
EnterprisesValueRevenueRatio,01/31/2022,2022-01-31,38.359
EnterprisesValueRevenueRatio,10/31/2021,2021-10-31,80.313
EnterprisesValueEBITDARatio,ttm,,-32.541
EnterprisesValueEBITDARatio,10/31/2025,2025-10-31,
EnterprisesValueEBITDARatio,07/31/2025,2025-07-31,
EnterprisesValueEBITDARatio,04/30/2025,2025-04-30,
EnterprisesValueEBITDARatio,01/31/2025,2025-01-31,
EnterprisesValueEBITDARatio,10/31/2024,2024-10-31,
EnterprisesValueEBITDARatio,07/31/2024,2024-07-31,
EnterprisesValueEBITDARatio,04/30/2024,2024-04-30,
EnterprisesValueEBITDARatio,01/31/2024,2024-01-31,-306.54
EnterprisesValueEBITDARatio,10/31/2023,2023-10-31,-148.953
EnterprisesValueEBITDARatio,07/31/2023,2023-07-31,-128.578
EnterprisesValueEBITDARatio,04/30/2023,2023-04-30,-65.316
EnterprisesValueEBITDARatio,01/31/2023,2023-01-31,-146.492
EnterprisesValueEBITDARatio,10/31/2022,2022-10-31,-113.995
EnterprisesValueEBITDARatio,07/31/2022,2022-07-31,-117.901
EnterprisesValueEBITDARatio,04/30/2022,2022-04-30,-147.13
EnterprisesValueEBITDARatio,01/31/2022,2022-01-31,-214.08
EnterprisesValueEBITDARatio,10/31/2021,2021-10-31,-485.844
